#TYPE System.Management.Automation.PSCustomObject
"ColumnName","ColumnType","Class","Schema","LogicalType","ListOfValues","Aliased"
"ActingAppId","string","Optional","Authentication","","",""
"ActingAppName","string","Optional","Authentication","","",""
"ActingAppType","string","Optional","Authentication","Enumerated","Process|Service|Resource|URL|SaaS application|CSP|Other",""
"ActorOriginalUserType","string","Optional","Authentication","","",""
"ActorScope","string","Optional","Authentication","","",""
"ActorScopeId","string","Optional","Authentication","","",""
"ActorSessionId","string","Optional","Authentication","","",""
"ActorUserId","string","Optional","Authentication","","",""
"ActorUserIdType","string","Conditional","Authentication","Enumerated","SID|UID|AADID|OktaId|AWSId|PUID|SalesforceId|VectraUserId|MD4IoTid|Other","ActorUserId"
"ActorUsername","string","Optional","Authentication","","",""
"ActorUsernameType","string","Conditional","Authentication","Enumerated","UPN|Windows|DN|Simple","ActorUsername"
"ActorUserType","string","Optional","Authentication","Enumerated","Regular|Guest|Machine|Admin|System|Application|Service|Other",""
"AdditionalFields","dynamic","Optional","Authentication","","",""
"Application","string","Alias","Authentication","","","TargetAppName"
"Dst","string","Recommended","Authentication","","",""
"Dvc","string","Mandatory","Authentication","","",""
"DvcAction","string","Recommended","Authentication","","",""
"DvcDescription","string","Optional","Authentication","","",""
"DvcDomain","string","Recommended","Authentication","Domain","",""
"DvcDomainType","string","Conditional","Authentication","Enumerated","Windows|FQDN|ResourceGroup","DvcDomain"
"DvcFQDN","string","Optional","Authentication","FQDN","",""
"DvcHostname","string","Recommended","Authentication","Hostname","",""
"DvcId","string","Optional","Authentication","","",""
"DvcIdType","string","Conditional","Authentication","Enumerated","AzureResourceId|MDEid|MD4IoTid|VMConnectionId|AwsVpcId|VectraId|AppGateId|Other","DvcId"
"DvcInterface","string","Optional","Authentication","","",""
"DvcIpAddr","string","Recommended","Authentication","IP Address","",""
"DvcMacAddr","string","Optional","Authentication","MAC address","",""
"DvcOriginalAction","string","Optional","Authentication","","",""
"DvcOs","string","Optional","Authentication","","",""
"DvcOsVersion","string","Optional","Authentication","","",""
"DvcScope","string","Optional","Authentication","","",""
"DvcScopeId","string","Optional","Authentication","","",""
"DvcZone","string","Optional","Authentication","","",""
"EventCount","int","Mandatory","Authentication","","",""
"EventEndTime","datetime","Mandatory","Authentication","","",""
"EventMessage","string","Optional","Authentication","","",""
"EventOriginalResultDetails","string","Optional","Authentication","","",""
"EventOriginalSeverity","string","Optional","Authentication","","",""
"EventOriginalSubType","string","Optional","Authentication","","",""
"EventOriginalType","string","Optional","Authentication","","",""
"EventOriginalUid","string","Optional","Authentication","","",""
"EventOwner","string","Optional","Authentication","","",""
"EventProduct","string","Mandatory","Authentication","Enumerated","Service Cloud|Auth0|CloudTrail|AAD Service Principal|AAD Managed Identity|AAD Sign In Logs|AAD|AAD Non Interactive|Azure Defender for IoT|M365 Defender for Endpoint|Security Events|Okta|PostgreSQL|OpenSSH|su|sudo|Vectra Cloud|SentinelOne|Winlogbeat",""
"EventProductVersion","string","Optional","Authentication","","",""
"EventReportUrl","string","Optional","Authentication","URL","",""
"EventResult","string","Mandatory","Authentication","Enumerated","Success|Failure|Partial|NA",""
"EventResultDetails","string","Recommended","Authentication","Enumerated","No such user or password|Incorrect password|Account expired|Password expired|User locked|User disabled|Logon violates policy|Session expired|No such user|Incorrect key|Success|Other",""
"EventSchema","string","Mandatory","Authentication","Enumerated","Authentication",""
